request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_46,49450.0,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,"Use 2 installments of INR 25714, starting 2024-12-03. This keeps the INR 84000 minimum protected."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay IDR 38114000 today. This keeps the IDR 30049000 minimum protected over the next 90 days.
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today. This keeps the INR 71300 minimum protected over the next 90 days.
request_49,16089545.01,affordable_with_plan,installments,2024-03-18:1.19021e+07|2024-04-18:1.19021e+07|2024-05-19:1.19021e+07,2024-04-17,none,"Use 3 installments of IDR 1.19021e+07, starting 2024-03-18. This keeps the IDR 20275700 minimum protected."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 today. This keeps the INR 99700 minimum protected over the next 90 days.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today. This keeps the IDR 7811000 minimum protected over the next 90 days.
request_52,26530.0,affordable_later,wait,2024-06-14:28870,2024-06-14,none,Pay INR 28870 in full on 2024-06-14. Paying earlier would take the balance below the INR 41500 minimum.
request_53,883.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-13,none,"Use 3 installments of USD 589.06, starting 2025-11-21. This keeps the USD 2100 minimum protected."
request_54,10214.77,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 121528 request by 2026-08-21. None of the available options keeps the ZAR 37000 minimum protected.
request_55,154596.19,affordable_with_plan,installments,2026-06-11:75781.3|2026-07-12:75781.3|2026-08-12:75781.3,2026-07-14,none,"Use 3 installments of INR 75781.3, starting 2026-06-11. This keeps the INR 124300 minimum protected."
request_56,775.37,affordable_with_plan,partial_payment,2025-02-03:775.37|2025-02-15:106.19,2025-02-15,none,Pay USD 775.37 today and the remaining USD 106.19 on 2025-02-15. This completes the full request and keeps the USD 2100 minimum protected.
request_57,19859.4,affordable_later,wait,2026-06-13:61446,2026-06-13,none,Pay ZAR 61446 in full on 2026-06-13. Paying earlier would take the balance below the ZAR 42700 minimum.
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 today. This keeps the IDR 14433900 minimum protected over the next 90 days.
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.3|2025-06-04:48741.3|2025-07-02:48741.3,2025-05-04,none,"Use 3 installments of INR 48741.3, starting 2025-05-07. This keeps the INR 132600 minimum protected."
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay USD 199.89 today. This keeps the USD 400 minimum protected over the next 90 days.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.8|2024-04-17:10074.8|2024-05-18:10074.8,2024-03-03,none,"Use 3 installments of ZAR 10074.8, starting 2024-03-17. This keeps the ZAR 36700 minimum protected."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today. This keeps the USD 1300 minimum protected over the next 90 days.
request_63,67358.31,not_affordable,not_recommended,none,,none,Do not proceed with the INR 343900 request by 2026-09-17. None of the available options keeps the INR 153500 minimum protected.
request_64,0.0,not_affordable,not_recommended,none,,none,Do not proceed with the INR 63700 request by 2024-08-16. None of the available options keeps the INR 36100 minimum protected.
request_65,11558.8,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 54340 request by 2025-11-25. None of the available options keeps the ZAR 15500 minimum protected.
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today. This keeps the INR 80700 minimum protected over the next 90 days.
request_67,589.16,affordable_later,wait,2024-11-16:2094,2024-11-16,none,Pay USD 2094 in full on 2024-11-16. Paying earlier would take the balance below the USD 1200 minimum.
request_68,1684.81,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-14,none,"Use 3 installments of USD 725.09, starting 2025-02-14. This keeps the USD 1500 minimum protected."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.1 today. This keeps the EUR 700 minimum protected over the next 90 days.
request_70,60782.72,affordable_later,wait,2025-02-16:243900,2025-02-16,none,Pay INR 243900 in full on 2025-02-16. Paying earlier would take the balance below the INR 115000 minimum.
request_71,2556477.73,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 21451000 request by 2025-05-28. None of the available options keeps the IDR 8884800 minimum protected.
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay ZAR 11330 today. This keeps the ZAR 12200 minimum protected over the next 90 days.
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 today. This keeps the INR 103200 minimum protected over the next 90 days.
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today. This keeps the ZAR 21900 minimum protected over the next 90 days.
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9800.27, starting 2026-04-09. This keeps the ZAR 39000 minimum protected."
request_76,1371.69,not_affordable,not_recommended,none,2024-07-19,none,Do not proceed with the USD 4455.6 request by 2024-07-30. None of the available options keeps the USD 1800 minimum protected.
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay INR 60700 today. This keeps the INR 82200 minimum protected over the next 90 days.
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Pay INR 50200 today. This keeps the INR 55200 minimum protected over the next 90 days.
request_79,920.81,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 2151.6 request by 2024-11-01. None of the available options keeps the EUR 1000 minimum protected.
request_80,83305.96,not_affordable,not_recommended,none,,none,Do not proceed with the INR 217500 request by 2025-02-21. None of the available options keeps the INR 121300 minimum protected.
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 today. This keeps the USD 1600 minimum protected over the next 90 days.
request_82,624.05,affordable_later,wait,2025-02-06:1405.2,2025-02-06,none,Pay USD 1405.2 in full on 2025-02-06. Paying earlier would take the balance below the USD 1100 minimum.
request_83,0.0,not_affordable,not_recommended,none,,none,Do not proceed with the INR 156200 request by 2025-06-17. None of the available options keeps the INR 37800 minimum protected.
request_84,45002.92,affordable_later,wait,2026-06-13:95400,2026-06-13,none,Pay INR 95400 in full on 2026-06-13. Paying earlier would take the balance below the INR 91300 minimum.
request_85,1288101.14,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 19304000 request by 2024-04-26. None of the available options keeps the IDR 6396300 minimum protected.
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 today. This keeps the INR 84900 minimum protected over the next 90 days.
request_87,0.0,not_affordable,not_recommended,none,,none,Do not proceed with the INR 487900 request by 2026-03-15. None of the available options keeps the INR 185900 minimum protected.
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-14,none,"Use 3 installments of ZAR 9045.23, starting 2024-06-14. This keeps the ZAR 25800 minimum protected."
request_89,11621720.17,affordable_with_plan,installments,2025-11-18:4.76875e+06|2025-12-16:4.76875e+06|2026-01-13:4.76875e+06,2025-12-16,none,"Use 3 installments of IDR 4.76875e+06, starting 2025-11-18. This keeps the IDR 12534700 minimum protected."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 today. This keeps the ZAR 7600 minimum protected over the next 90 days.
request_91,1704.6,affordable_later,wait,2024-09-14:1927.2,2024-09-14,none,Pay EUR 1927.2 in full on 2024-09-14. Paying earlier would take the balance below the EUR 2100 minimum.
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 today. This keeps the ZAR 28100 minimum protected over the next 90 days.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Pay USD 1729.2 today. This keeps the USD 1900 minimum protected over the next 90 days.
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This keeps the EUR 600 minimum protected over the next 90 days.
request_95,68170.07,not_affordable,not_recommended,none,,none,Do not proceed with the INR 553000 request by 2025-07-14. None of the available options keeps the INR 145500 minimum protected.
request_96,85100.92,affordable_with_plan,installments,2026-01-10:31269.3|2026-02-09:31269.3|2026-03-11:31269.3,2026-01-15,none,"Use 3 installments of INR 31269.3, starting 2026-01-10. This keeps the INR 56500 minimum protected."
request_97,3037.52,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-14,none,"Use 3 installments of ZAR 8145.28, starting 2024-03-19. This keeps the ZAR 29700 minimum protected."
request_98,16368.0,affordable_later,wait,2025-10-13:27148,2025-10-13,none,Pay ZAR 27148 in full on 2025-10-13. Paying earlier would take the balance below the ZAR 30000 minimum.
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay ZAR 18062 today. This keeps the ZAR 49100 minimum protected over the next 90 days.
request_100,31359.03,affordable_with_plan,installments,2024-06-13:12866.2|2024-07-14:12866.2|2024-08-14:12866.2,2024-06-15,none,"Use 3 installments of ZAR 12866.2, starting 2024-06-13. This keeps the ZAR 32500 minimum protected."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today. This keeps the INR 187400 minimum protected over the next 90 days.
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This keeps the EUR 900 minimum protected."
request_103,30624.0,not_affordable,not_recommended,none,,none,Do not proceed with the INR 368300 request by 2024-10-07. None of the available options keeps the INR 125500 minimum protected.
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay ZAR 17204 today. This keeps the ZAR 24700 minimum protected over the next 90 days.
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Pay INR 53500 today. This keeps the INR 73900 minimum protected over the next 90 days.
request_106,543.78,affordable_later,wait,2025-02-16:2207.7,2025-02-16,none,Pay EUR 2207.7 in full on 2025-02-16. Paying earlier would take the balance below the EUR 1200 minimum.
request_107,0.0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 2534.4 request by 2025-07-04. None of the available options keeps the EUR 1600 minimum protected.
request_108,7836.4,affordable_later,wait,2026-09-16:55308,2026-09-16,none,Pay ZAR 55308 in full on 2026-09-16. Paying earlier would take the balance below the ZAR 24100 minimum.
request_109,995.89,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-14,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. This keeps the EUR 1700 minimum protected."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 2025-08-06. This keeps the ZAR 11200 minimum protected."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 today. This keeps the IDR 23022800 minimum protected over the next 90 days.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Pay EUR 271.7 today. This keeps the EUR 500 minimum protected over the next 90 days.
request_113,36500.0,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,Pay INR 36500 today. This keeps the INR 82300 minimum protected over the next 90 days.
request_114,65300.0,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Pay INR 65300 today. This keeps the INR 113400 minimum protected over the next 90 days.
request_115,16712.71,affordable_later,wait,2024-11-13:80500,2024-11-13,none,Pay INR 80500 in full on 2024-11-13. Paying earlier would take the balance below the INR 38800 minimum.
request_116,27320.7,not_affordable,not_recommended,none,,none,Do not proceed with the INR 241200 request by 2025-04-16. None of the available options keeps the INR 80300 minimum protected.
request_117,880.0,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Pay EUR 880 today. This keeps the EUR 1000 minimum protected over the next 90 days.
request_118,738.1,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-07,none,"Use 3 installments of EUR 255.87, starting 2024-12-07. This keeps the EUR 600 minimum protected."
request_119,0.0,not_affordable,not_recommended,none,,none,Do not proceed with the INR 203500 request by 2025-07-17. None of the available options keeps the INR 151200 minimum protected.
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today. This keeps the IDR 20050300 minimum protected over the next 90 days.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.6 today. This keeps the USD 800 minimum protected over the next 90 days.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7.12677e+06|2025-09-02:7.12677e+06|2025-09-30:7.12677e+06,2025-08-05,none,"Use 3 installments of IDR 7.12677e+06, starting 2025-08-05. This keeps the IDR 12588500 minimum protected."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 today. This keeps the IDR 18091200 minimum protected over the next 90 days.
request_124,1648.56,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1076.12, starting 2024-06-11. This keeps the EUR 1600 minimum protected."
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Pay ZAR 6468 today. This keeps the ZAR 11300 minimum protected over the next 90 days.
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 today. This keeps the INR 129700 minimum protected over the next 90 days.
request_127,0.0,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 23980 request by 2024-10-18. None of the available options keeps the ZAR 41000 minimum protected.
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 today. This keeps the ZAR 42600 minimum protected over the next 90 days.
request_129,203.0,not_affordable,not_recommended,none,,none,Do not proceed with the USD 2668.8 request by 2026-06-18. None of the available options keeps the USD 800 minimum protected.
request_130,666.57,affordable_later,wait,2025-01-16:1978.8,2025-01-16,none,Pay USD 1978.8 in full on 2025-01-16. Paying earlier would take the balance below the USD 1400 minimum.
request_131,1548.27,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-15,none,"Use 3 installments of USD 643.14, starting 2025-05-06. This keeps the USD 1100 minimum protected."
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Pay USD 379.86 today. This keeps the USD 1100 minimum protected over the next 90 days.
request_133,15770000.0,not_affordable,not_recommended,none,2024-03-07,none,Do not proceed with the IDR 15770000 request by 2024-03-29. None of the available options keeps the IDR 9986200 minimum protected.
request_134,7369219.37,affordable_later,wait,2025-10-16:21831000,2025-10-16,none,Pay IDR 21831000 in full on 2025-10-16. Paying earlier would take the balance below the IDR 15902500 minimum.
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Pay USD 304.8 today. This keeps the USD 500 minimum protected over the next 90 days.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,Pay USD 560.4 today. This keeps the USD 1100 minimum protected over the next 90 days.
request_137,49935.0,affordable_later,wait,2026-01-13:80100,2026-01-13,none,Pay INR 80100 in full on 2026-01-13. Paying earlier would take the balance below the INR 71800 minimum.
request_138,1252.65,affordable_with_plan,partial_payment,2026-04-07:1252.65|2026-04-14:4.29,2026-04-14,none,Pay EUR 1252.65 today and the remaining EUR 4.29 on 2026-04-14. This completes the full request and keeps the EUR 2300 minimum protected.
request_139,2104.84,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"Use 3 installments of USD 802.88, starting 2024-09-07. This keeps the USD 1500 minimum protected."
request_140,7350.2,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 62832 request by 2025-03-04. None of the available options keeps the ZAR 21600 minimum protected.
request_141,37118.03,not_affordable,not_recommended,none,,none,Do not proceed with the INR 171600 request by 2026-02-12. None of the available options keeps the INR 67300 minimum protected.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Pay USD 1263.6 today. This keeps the USD 1700 minimum protected over the next 90 days.
request_143,4479.33,affordable_later,wait,2025-07-14:12584,2025-07-14,none,Pay ZAR 12584 in full on 2025-07-14. Paying earlier would take the balance below the ZAR 11300 minimum.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This keeps the USD 600 minimum protected over the next 90 days.
request_145,63439.95,affordable_with_plan,installments,2024-03-20:75365.3|2024-04-20:75365.3|2024-05-21:75365.3,2024-05-08,reduce_to:event_13341:2920|stop:event_13342|reduce_to:event_13409:3335,"Use 3 installments of INR 75365.3, starting 2024-03-20. This keeps the INR 155400 minimum protected."
request_146,39367.89,not_affordable,not_recommended,none,,none,Do not proceed with the INR 449400 request by 2025-10-17. None of the available options keeps the INR 108600 minimum protected.
request_147,0.0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1129.7 request by 2026-06-07. None of the available options keeps the EUR 900 minimum protected.
request_148,10440.53,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-14,none,"Use 3 installments of ZAR 7710.56, starting 2024-06-14. This keeps the ZAR 20000 minimum protected."
request_149,28034.69,affordable_with_plan,installments,2025-11-18:12706|2025-12-16:12706|2026-01-13:12706,2025-12-16,none,"Use 3 installments of ZAR 12706, starting 2025-11-18. This keeps the ZAR 42100 minimum protected."
request_150,329.84,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 496.1 request by 2026-03-16. None of the available options keeps the EUR 700 minimum protected.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 today. This keeps the IDR 31633600 minimum protected over the next 90 days.
request_152,13185.27,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-14,none,"Use 3 installments of ZAR 4812.43, starting 2025-02-12. This keeps the ZAR 11900 minimum protected."
request_153,401.84,not_affordable,not_recommended,none,,none,Do not proceed with the USD 2830.8 request by 2026-09-24. None of the available options keeps the USD 1400 minimum protected.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 2024-12-04. This keeps the EUR 1300 minimum protected."
request_155,3233.78,not_affordable,not_recommended,none,,none,Do not proceed with the INR 112500 request by 2025-05-20. None of the available options keeps the INR 56300 minimum protected.
request_156,12395.33,affordable_later,wait,2026-06-13:43076,2026-06-13,none,Pay ZAR 43076 in full on 2026-06-13. Paying earlier would take the balance below the ZAR 26900 minimum.
request_157,7086103.94,affordable_later,wait,2024-04-17:23503000,2024-04-17,none,Pay IDR 23503000 in full on 2024-04-17. Paying earlier would take the balance below the IDR 15714100 minimum.
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.3|2025-09-04:84101.3|2025-10-02:84101.3,2025-08-07,none,"Use 3 installments of INR 84101.3, starting 2025-08-07. This keeps the INR 131400 minimum protected."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Pay ZAR 13398 today. This keeps the ZAR 8700 minimum protected over the next 90 days.
request_160,643.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-14,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This keeps the EUR 1200 minimum protected."
request_161,0.0,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 21204000 request by 2026-01-15. None of the available options keeps the IDR 23010400 minimum protected.
request_162,4499997.6,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 83923000 request by 2026-08-26. None of the available options keeps the IDR 24161100 minimum protected.
request_163,15513824.26,affordable_with_plan,installments,2024-09-10:6.69205e+06|2024-10-11:6.69205e+06|2024-11-11:6.69205e+06,2024-09-14,none,"Use 3 installments of IDR 6.69205e+06, starting 2024-09-10. This keeps the IDR 26728700 minimum protected."
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9366240, starting 2025-02-11. This keeps the IDR 29550500 minimum protected."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600 today. This keeps the INR 95000 minimum protected over the next 90 days.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 2024-12-03. This keeps the USD 1700 minimum protected."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 today. This keeps the ZAR 31200 minimum protected over the next 90 days.
request_168,45890.32,affordable_with_plan,partial_payment,2026-01-07:45890.3|2026-03-15:3489.68,2026-03-15,none,Pay INR 45890.3 today and the remaining INR 3489.68 on 2026-03-15. This completes the full request and keeps the INR 114400 minimum protected.
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 today. This keeps the ZAR 18700 minimum protected over the next 90 days.
request_170,36253398.4,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-14,none,"Use 3 installments of IDR 12804480, starting 2025-08-06. This keeps the IDR 24715800 minimum protected."
request_171,111.53,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1878.8 request by 2026-09-10. None of the available options keeps the EUR 500 minimum protected.
request_172,10200.0,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use 2 installments of ZAR 5304, starting 2024-06-05. This keeps the ZAR 27200 minimum protected."
request_173,77823.68,affordable_with_plan,installments,2025-11-21:39173.3|2025-12-19:39173.3|2026-01-16:39173.3,2026-01-13,none,"Use 3 installments of INR 39173.3, starting 2025-11-21. This keeps the INR 79100 minimum protected."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 2026-04-04. This keeps the EUR 700 minimum protected."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Pay EUR 2346.3 today. This keeps the EUR 1700 minimum protected over the next 90 days.
request_176,628.96,affordable_later,wait,2025-04-24:1239.7,2025-04-24,none,Pay EUR 1239.7 in full on 2025-04-24. Paying earlier would take the balance below the EUR 600 minimum.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,Pay USD 1017.6 today. This keeps the USD 1300 minimum protected over the next 90 days.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 2024-12-07. This keeps the EUR 1400 minimum protected."
request_179,28174006.09,affordable_later,wait,2025-06-14:41648000,2025-06-14,none,Pay IDR 41648000 in full on 2025-06-14. Paying earlier would take the balance below the IDR 41430800 minimum.
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay INR 66500 today. This keeps the INR 37300 minimum protected over the next 90 days.
request_181,839.0,not_affordable,not_recommended,none,,none,Do not proceed with the USD 5059.2 request by 2024-04-07. None of the available options keeps the USD 2000 minimum protected.
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 today. This keeps the ZAR 31100 minimum protected over the next 90 days.
request_183,26866000.0,affordable_with_plan,installments,2026-04-10:9.31355e+06|2026-05-10:9.31355e+06|2026-06-09:9.31355e+06,2026-04-07,none,"Use 3 installments of IDR 9.31355e+06, starting 2026-04-10. This keeps the IDR 11878300 minimum protected."
request_184,34136.04,not_affordable,not_recommended,none,,none,Do not proceed with the INR 251900 request by 2024-07-30. None of the available options keeps the INR 110800 minimum protected.
